Estado;Município;Latitude;Longitude;Altitude
MG;Aimorés;-19,49;-41,08;80
ES;Alegre;-20,75;-41,49;150
ES;Alfredo Chaves;-20,64;-40,74;15
ES;Alfredo Chaves - Cafundó;-20,62;-40,78;140
ES;Aracruz;-19,82;-40,25;0
ES;Boa Esperança;-18,53;-40,29;150
RJ;Cachoeiro de Itapemirim;-20,83;-41,19;70
ES;Cachoeiro de Itapemirim - Faz. Exp. Bananal do Norte;-20,75;-41,23;50
ES;Campos dos Goytacazes - RJ;-21,74;-41,33;11
ES;Caparaó - MG;-20,53;-41,91;843
RJ;Domingos Martins - Aracê;-20,38;-41,05;950
ES;Ecoporanga;-18,37;-40,83;250
ES;Itaperuna - RJ;-21,2;-41,91;124
ES;Itarana;-19,87;-40,88;245
ES;Linhares;-19,36;-40,07;28
ES;Marilândia;-19,41;-40,54;140
ES;Mucurici;-18,09;-40,55;226
ES;Muniz Freire;-20,47;-41,42;575
ES;Nova Venécia;-18,68;-40,42;120
ES;Santa Maria de Jetibá;-20,08;-40,8;750
ES;Santa Teresa;-19,93;-40,58;648
ES;Santa Teresa - São João de Petrópolis;-19,81;-40,68;150
ES;São Gabriel da Palha;-19,05;-40,55;120
ES;São Mateus;-18,72;-39,88;25
ES;Sooretama;-19,12;-40,08;75
ES;Venda Nova do Imigrante;-20,32;-41,17;727
ES;Viana;-20,37;-40,52;20
ES;Vitória;-20,32;-40,32;36
