Data;Tx;Tn;Tmed;UR;Prec;Evap;Eto;Insolação
1976-01-01;30,5;22,6;;;1,4;;;
1976-01-02;29,0;22,3;;;4,2;;;
1976-01-03;29,0;23,2;;;1,6;;;
1976-01-04;29,4;22,8;;;5,6;;;
1976-01-05;29,8;22,6;;;0,0;;;
1976-01-06;32,6;23,0;;;0,0;;;
1976-01-07;30,8;23,8;;;0,0;;;
1976-01-08;35,1;24,0;;;0,0;;;
1976-01-09;36,0;25,6;;;0,0;;;
1976-01-10;34,4;24,2;;;0,0;;;
1976-01-11;34,2;23,8;;;0,0;;;
1976-01-12;33,4;23,7;;;0,0;;;
1976-01-13;32,2;24,4;;;0,0;;;
1976-01-14;33,4;23,8;;;0,0;;;
1976-01-15;32,6;23,7;;;0,0;;;
1976-01-16;34,2;24,2;;;0,0;;;
1976-01-17;33,6;24,2;;;0,0;;;
1976-01-18;32,4;23,8;;;0,0;;;
1976-01-19;32,4;23,4;;;0,0;;;
1976-01-20;33,0;24,3;;;0,0;;;
1976-01-21;33,2;23,8;;;0,0;;;
1976-01-22;32,0;23,4;;;0,0;;;
1976-01-23;31,4;22,4;;;1,0;;;
1976-01-24;31,3;22,7;;;0,0;;;
1976-01-25;34,4;24,2;;;0,0;;;
1976-01-26;34,6;25,2;;;0,0;;;
1976-01-27;34,6;25,6;;;0,0;;;
1976-01-28;30,5;24,1;;;8,4;;;
1976-01-29;31,2;22,7;;;0,0;;;
1976-01-30;31,6;23,3;;;0,0;;;
1976-01-31;31,8;23,8;;;0,6;;;
1976-02-01;28,5;21,0;;;5,7;;;
1976-02-02;29,8;24,8;;;0,0;;;
1976-02-03;29,8;22,9;;;1,4;;;
1976-02-04;35,0;23,7;;;0,0;;;
1976-02-05;32,2;25,1;;;0,0;;;
1976-02-06;33,0;24,2;;;0,9;;;
1976-02-07;34,2;25,0;;;0,0;;;
1976-02-08;33,9;25,6;;;0,0;;;
1976-02-09;28,4;23,6;;;1,9;;;
1976-02-10;29,4;22,2;;;0,0;;;
1976-02-11;29,8;23,3;;;0,0;;;
1976-02-12;29,0;22,8;;;0,0;;;
1976-02-13;31,4;23,1;;;0,0;;;
1976-02-14;31,2;21,8;;;0,0;;;
1976-02-15;31,8;23,8;;;0,0;;;
1976-02-16;31,3;23,8;;;1,4;;;
1976-02-17;31,8;24,2;;;0,2;;;
1976-02-18;32,4;24,0;;;0,0;;;
1976-02-19;31,6;24,2;;;0,0;;;
1976-02-20;31,4;23,8;;;0,0;;;
1976-02-21;33,2;24,2;;;0,0;;;
1976-02-22;34,4;24,6;;;0,0;;;
1976-02-23;35,2;25,5;;;0,0;;;
1976-02-24;33,2;25,0;;;0,0;;;
1976-02-25;32,3;25,2;;;0,0;;;
1976-02-26;31,6;23,8;;;0,0;;;
1976-02-27;30,5;23,3;;;0,0;;;
1976-02-28;30,6;21,6;;;4,6;;;
1976-02-29;32,0;23,5;;;0,8;;;
1976-03-01;32,6;23,8;;;0,0;;;
1976-03-02;31,8;23,8;;;0,0;;;
1976-03-03;30,8;24,0;;;0,0;;;
1976-03-04;32,5;23,6;;;1,5;;;
1976-03-05;31,6;23,6;;;4,3;;;
1976-03-06;31,1;23,4;;;5,7;;;
1976-03-07;31,4;23,6;;;0,0;;;
1976-03-08;30,5;23,6;;;0,0;;;
1976-03-09;31,2;23,8;;;0,0;;;
1976-03-10;31,6;23,8;;;0,2;;;
1976-03-11;31,8;23,6;;;0,0;;;
1976-03-12;32,4;23,8;;;0,0;;;
1976-03-13;32,5;24,2;;;0,0;;;
1976-03-14;33,7;24,1;;;0,0;;;
1976-03-15;32,2;24,2;;;0,0;;;
1976-03-16;30,9;21,6;;;0,0;;;
1976-03-17;31,4;23,6;;;0,0;;;
1976-03-18;36,4;23,0;;;0,0;;;
1976-03-19;32,6;24,6;;;0,4;;;
1976-03-20;35,4;25,1;;;0,0;;;
1976-03-21;34,5;24,8;;;0,0;;;
1976-03-22;31,9;24,5;;;0,0;;;
1976-03-23;29,6;21,4;;;68,2;;;
1976-03-24;28,9;22,3;;;3,8;;;
1976-03-25;32,1;24,0;;;0,0;;;
1976-03-26;32,2;23,6;;;1,0;;;
1976-03-27;32,8;24,4;;;0,0;;;
1976-03-28;33,4;24,6;;;0,0;;;
1976-03-29;29,9;23,4;;;0,9;;;
1976-03-30;25,6;21,4;;;6,2;;;
1976-03-31;28,3;21,4;;;23,1;;;
1976-04-01;30,0;22,2;25,6;72,5;1,8;1,7;3,4401709688051314;10,2
1976-04-02;30,6;23,2;25,879999999999995;73,0;0,0;2,3;3,3724186727119263;8,6
1976-04-03;30,8;22,6;26,3;74,25;0,0;1,6;3,5841692652259614;7,4
1976-04-04;30,1;23,4;26,160000000000004;77,25;1,0;2,3;3,2295207614684465;9,3
1976-04-05;30,0;23,2;25,839999999999996;79,25;3,0;1,9;3,229848814510841;8,1
1976-04-06;32,9;23,6;26,98;73,25;0,3;2,2;3,875864263507558;10,7
1976-04-07;33,5;24,3;27,3;64,75;0,0;3,6;3,8825177621894023;10,3
1976-04-08;33,6;23,8;27,060000000000002;70,25;0,0;4,2;3,9857981643140086;8,2
1976-04-09;30,8;23,8;26,26;77,25;0,0;2,6;3,3085409060905873;10,2
1976-04-10;30,2;23,8;26,119999999999997;74,5;0,0;3,0;3,1535179992603846;7,8
1976-04-11;31,8;23,6;26,419999999999998;72,5;0,0;2,1;3,593922106763991;10,4
1976-04-12;31,2;23,8;26,619999999999997;72,5;0,0;3,3;3,429552139236808;10,3
1976-04-13;30,2;23,6;26,040000000000003;75,25;0,0;3,2;3,1965794927060025;10,0
1976-04-14;30,1;22,4;25,660000000000004;74,0;0,0;3,0;3,4227728645823148;7,9
1976-04-15;30,0;22,9;25,839999999999996;71,75;0,7;2,2;3,300326541077576;8,4
1976-04-16;29,5;21,8;25,22;77,5;9,0;2,3;3,3881198489261646;7,7
1976-04-17;30,2;22,6;25,619999999999997;77,0;0,2;1,9;3,3973446816849644;9,9
1976-04-18;29,0;22,4;25,060000000000002;77,0;0,0;1,8;3,1251231080606594;3,5
1976-04-19;29,6;21,8;24,68;73,75;0,0;1,7;3,3672456855954374;6,7
1976-04-20;28,5;21,4;24,96;72,25;0,0;2,0;3,2337755017524557;8,5
1976-04-21;32,8;21,3;26,0;64,75;0,0;1,9;4,215664361825243;10,2
1976-04-22;30,7;22,2;25,1;76,0;0,0;0,5;3,5498479447752604;7,6
1976-04-23;27,5;21,8;23,46;74,25;4,2;2,1;2,795822831822477;1,6
1976-04-24;28,8;21,8;24,18;68,75;0,0;1,2;3,1523501415724664;5,2
1976-04-25;29,2;21,6;24,419999999999998;75,75;0,0;3,4;3,3034521524813263;5,2
1976-04-26;30,6;21,8;25,44;72,0;0,0;2,2;3,640575290289117;9,2
1976-04-27;28,4;22,6;24,48;70,0;3,2;0,7;2,8899609277071514;8,1
1976-04-28;28,0;22,2;23,96;71,0;0,0;5,9;2,854417415824283;7,1
1976-04-29;29,5;22,0;24,66;75,75;0,0;3,3;3,3003015034357976;7,2
1976-04-30;30,1;21,7;23,900000000000002;78,5;0,0;1,8;3,4301940851183077;7,6
1976-05-01;26,7;20,4;23,04;68,75;3,1;3,2;2,4849889107440495;9,4
1976-05-02;22,2;16,4;19,7;81,25;7,8;3,3;2,189342518343121;0,0
1976-05-03;24,0;18,6;21,139999999999997;73,25;3,3;1,6;2,1936193782809523;1,0
1976-05-04;25,5;19,4;21,8;79,0;0,4;2,5;2,3709836018247077;0,4
1976-05-05;22,6;20,3;21,14;92,75;0,7;2,0;1,4316218300164656;0,0
1976-05-06;27,2;19,8;22,68;86,75;17,2;0,4;2,6694685619971024;3,0
1976-05-07;29,4;20,2;23,720000000000002;81,25;0,0;1,1;3,0529500966760987;9,9
1976-05-08;29,3;19,9;23,779999999999994;78,5;0,0;1,8;3,0904153956821068;9,5
1976-05-09;27,7;21,6;23,840000000000003;77,75;0,0;2,2;2,4931251813126463;9,9
1976-05-10;28,1;21,7;24,08;78,0;0,0;3,2;2,568414463506513;5,9
1976-05-11;29,0;21,2;24,700000000000003;78,75;0,9;1,9;2,877429410698897;9,3
1976-05-12;29,3;21,6;24,619999999999997;80,75;0,0;1,7;2,8535433439609728;7,6
1976-05-13;26,9;20,6;22,2;88,75;3,5999999999999996;2,0;2,4338774835886863;3,6
1976-05-14;26,8;20,4;22,5;68,5;15,600000000000001;2,4;2,4715163056187315;9,4
1976-05-15;23,8;20,8;21,619999999999997;88,25;0,1;3,4;1,6551817691906796;0,0
1976-05-16;26,4;20,2;22,08;86,5;32,6;0,7;2,4072402772502355;0,7
1976-05-17;27,5;20,6;23,419999999999998;78,75;0,0;1,3;2,6248287828362162;6,9
1976-05-18;29,9;20,8;24,32;78,75;0,0;1,8;3,080189992911972;9,8
1976-05-19;29,0;21,0;24,4;80,0;0,0;1,8;2,893516021111699;9,7
1976-05-20;31,2;21,8;25,8;79,5;0,0;1,8;3,2405510161553592;8,7
1976-05-21;27,3;22,7;23,96;76,75;0,0;3,1;2,1712401074056675;7,1
1976-05-22;26,8;21,2;23,380000000000003;81,0;2,1;2,7;2,362374807710512;0,5
1976-05-23;28,7;21,4;24,2;83,5;2,6;1,5;2,7509276427308653;7,0
1976-05-24;31,2;22,7;25,3;80,25;0,7;1,2;3,046177317240797;9,4
1976-05-25;29,2;21,9;23,660000000000004;80,5;0,0;2,1;2,7155585730386123;6,9
1976-05-26;26,7;20,4;22,72;80,25;12,5;1,7;2,4655178908753395;7,8
1976-05-27;28,5;20,7;23,82;74,5;0,0;2,1;2,817849695842073;7,8
1976-05-28;32,0;21,2;25,32;70,5;0,0;2,1;3,43525576264449;9,5
1976-05-29;29,6;21,8;24,699999999999996;72,0;0,0;3,3;2,877429410698897;4,5
1976-05-30;30,0;23,0;25,2;75,25;0,0;2,7;2,757947041161595;8,6
1976-05-31;26,6;21,4;23,32;74,0;0,0;2,3;2,273124509568032;2,8
1976-06-01;25,3;19,4;21,32;66,75;0,0;4,0;2,0827905023181157;8,6
1976-06-02;27,0;18,0;22,16;75,75;0,0;3,4;2,62764972;9,9
1976-06-03;29,0;19,8;23,56;71,75;0,0;2,3;2,7497624712214965;9,9
1976-06-04;27,7;19,8;23,14;79,0;0,0;2,5;2,5222150955359424;8,6
