BANCO DE DADOS AGROCLIMATOLÓGICO;;;;;;;;;;;;;;;;;;
;Estação (localidade):;;;Aimores;;;;;;;;;;;;;;
Lat.:;Lat.:;-19,494872;;;Long.:;-41,077647;;;;Altitude: ;;79,93;;m;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Data;Tx;Tn;Tmed;UR;Prec;Evap;Eto;Insolação;Txm;Tnm;Tmed-med;URmed;PrecSOM;Evapmed;Etomed;Insolaçãomed;Tx Abs;Tn Abs
01/01/1976;32;20;25,7;69,5;0;4,3;;8,2;;;;;;;;;;
02/01/1976;31;20;25,6;73,75;0;3,3;;9,7;;;;;;;;;;
03/01/1976;32;22;26,4;72,5;0;3,1;;7,9;;;;;;;;;;
04/01/1976;32;21;26,6;63,25;0;3,3;;9,3;;;;;;;;;;
05/01/1976;33;20;26,2;69,25;0;3,6;;11,1;;;;;;;;;;
06/01/1976;33;21;27;60,25;0;3,9;;8,4;;;;;;;;;;
07/01/1976;35;21;28;57;0;3,7;;12,9;;;;;;;;;;
08/01/1976;36;21;28,8;58;0;5,1;;12,8;;;;;;;;;;
09/01/1976;36;23;29,2;60,5;0;5,4;;10,4;;;;;;;;;;
10/01/1976;35;23;28,6;52,25;0;4,9;;12,6;;;;;;;;;;
11/01/1976;36;21;28,1;52;0;5,8;;12,8;;;;;;;;;;
12/01/1976;37;20;28,4;56,5;0;5,8;;12,3;;;;;;;;;;
13/01/1976;35;25;29;58,25;0;5,4;;10,4;;;;;;;;;;
14/01/1976;35;23;28,6;57,25;0;5,3;;11,7;;;;;;;;;;
15/01/1976;35;23;28,4;53,25;0;5,5;;12,6;;;;;;;;;;
16/01/1976;36;22;29;53,5;0;5,3;;12,7;;;;;;;;;;
17/01/1976;36;22;28,6;54,25;0;5,4;;12,2;;;;;;;;;;
18/01/1976;35,2;22;27,64;58;0;6,5;;12,3;;;;;;;;;;
19/01/1976;35,1;20;27,02;60;0;5,1;;12,3;;;;;;;;;;
20/01/1976;35;21,5;27,7;56,25;0;5,4;;11,4;;;;;;;;;;
21/01/1976;37;21;28,8;56,25;0;5,8;;12,6;;;;;;;;;;
22/01/1976;35,5;22;28,5;57,5;0;5,5;;11,1;;;;;;;;;;
23/01/1976;33;23;27,2;64,5;0;5,2;;8,2;;;;;;;;;;
24/01/1976;35;22;28;59,5;0;4,4;;12;;;;;;;;;;
25/01/1976;37;22;29;58,5;0;5,2;;12,7;;;;;;;;;;
26/01/1976;37;24;29,4;60,5;0;5,4;;9,2;;;;;;;;;;
27/01/1976;37;24;29,2;62,75;0;5,2;;10,2;;;;;;;;;;
28/01/1976;33;22;26,4;68,75;5;5;;7,3;;;;;;;;;;
29/01/1976;31;20;24,8;75,75;8;3,4;;4,6;;;;;;;;;;
30/01/1976;33;20;26,8;64,75;2;2,7;;10,8;;;;;;;;;;
31/01/1976;33;23;27,4;68;0;4,4;;6,7;34,6;21,8;27,7;61,0;15,0;4,8;;10,6;37,0;20
01/02/1976;31;19,9;25,38;75,25;77,2;3,2;;2,8;;;;;;;;;;
02/02/1976;30;22;25,8;76,5;0;2,5;;0,7;;;;;;;;;;
03/02/1976;32;21;26,8;73,75;4;2,4;;3,3;;;;;;;;;;
04/02/1976;34;21;27;76,75;20,4;2,7;;6,6;;;;;;;;;;
05/02/1976;32;23;26,6;86,75;0;3;;3;;;;;;;;;;
06/02/1976;32;21;26,4;75,25;33,5;1,4;;2,8;;;;;;;;;;
07/02/1976;34;21;27,6;72;1;2,3;;11,9;;;;;;;;;;
08/02/1976;34;23;27,8;70;0;3,2;;7,3;;;;;;;;;;
09/02/1976;33;23;26,6;79,5;0;2,7;;6,2;;;;;;;;;;
10/02/1976;33;19;25,8;65,25;2;2,3;;12;;;;;;;;;;
11/02/1976;33;18;25,8;56,75;0;4,2;;10,3;;;;;;;;;;
12/02/1976;33;18;26;56,5;0;4,1;;11,5;;;;;;;;;;
13/02/1976;34;18;26,4;60,5;0;4,5;;12,5;;;;;;;;;;
14/02/1976;35;20;27,4;59,5;0;4,7;;12,5;;;;;;;;;;
15/02/1976;34;21;27;67,25;0;4,5;;12;;;;;;;;;;
16/02/1976;32;22;26,4;80,5;0;3,7;;7,1;;;;;;;;;;
17/02/1976;33;22;27;71,5;10;2,8;;10,2;;;;;;;;;;
18/02/1976;34;21;27;62,25;0;2,8;;12,2;;;;;;;;;;
19/02/1976;33;21;27;62;0;3,8;;11,5;;;;;;;;;;
20/02/1976;33;22;27,4;66,25;0;3,9;;11,6;;;;;;;;;;
21/02/1976;34;23;28,2;59,5;0;4,1;;9,7;;;;;;;;;;
22/02/1976;35;21;28;64,25;0;5,2;;12,3;;;;;;;;;;
23/02/1976;36;22;28,8;57,75;0;4,5;;12,3;;;;;;;;;;
24/02/1976;35;23,5;28,3;62;0;5,2;;9,9;;;;;;;;;;
25/02/1976;33;22;27,4;60,25;0;4,4;;4,8;;;;;;;;;;
26/02/1976;34;22;27,2;62,25;0;3,9;;10,2;;;;;;;;;;
27/02/1976;31;22;26,2;73,25;0;4,1;;5,7;;;;;;;;;;
28/02/1976;32;21;25,8;79,25;11;2,6;;6,6;;;;;;;;;;
29/02/1976;33;21;26,8;65;2;2,3;;9,8;33,17241379;21,1862069;26,89241379;68,18965517;161,1;3,482758621;;8,596551724;36,0;18,0
01/03/1976;34;20;26,6;65;0;3,6;;10,6;;;;;;;;;;
02/03/1976;34;21;26,8;61,5;0;4;;9,6;;;;;;;;;;
03/03/1976;33;22;26,8;64,75;0;3,8;;6,7;;;;;;;;;;
04/03/1976;34;22;26,8;66,5;0;3,8;;8,9;;;;;;;;;;
05/03/1976;34;21;27;70,5;0;3,8;;10;;;;;;;;;;
06/03/1976;33;21;26,8;63,25;0;3,8;;10,9;;;;;;;;;;
07/03/1976;33;19;26,2;65;0;3,9;;10,8;;;;;;;;;;
08/03/1976;33;20;26;68;0;3,7;;10;;;;;;;;;;
