Data;Tx;Tn;Tmed;UR;Prec;Evap;Eto;Insolação
1976-01-01;32,0;20,0;25,7;69,5;0,0;4,3;;8,2
1976-01-02;31,0;20,0;25,6;73,75;0,0;3,3;;9,7
1976-01-03;32,0;22,0;26,4;72,5;0,0;3,1;;7,9
1976-01-04;32,0;21,0;26,6;63,25;0,0;3,3;;9,3
1976-01-05;33,0;20,0;26,2;69,25;0,0;3,6;;11,1
1976-01-06;33,0;21,0;27,0;60,25;0,0;3,9;;8,4
1976-01-07;35,0;21,0;28,0;57,0;0,0;3,7;;12,9
1976-01-08;36,0;21,0;28,8;58,0;0,0;5,1;;12,8
1976-01-09;36,0;23,0;29,2;60,5;0,0;5,4;;10,4
1976-01-10;35,0;23,0;28,6;52,25;0,0;4,9;;12,6
1976-01-11;36,0;21,0;28,1;52,0;0,0;5,8;;12,8
1976-01-12;37,0;20,0;28,4;56,5;0,0;5,8;;12,3
1976-01-13;35,0;25,0;29,0;58,25;0,0;5,4;;10,4
1976-01-14;35,0;23,0;28,6;57,25;0,0;5,3;;11,7
1976-01-15;35,0;23,0;28,4;53,25;0,0;5,5;;12,6
1976-01-16;36,0;22,0;29,0;53,5;0,0;5,3;;12,7
1976-01-17;36,0;22,0;28,6;54,25;0,0;5,4;;12,2
1976-01-18;35,2;22,0;27,64;58,0;0,0;6,5;;12,3
1976-01-19;35,1;20,0;27,02;60,0;0,0;5,1;;12,3
1976-01-20;35,0;21,5;27,7;56,25;0,0;5,4;;11,4
1976-01-21;37,0;21,0;28,8;56,25;0,0;5,8;;12,6
1976-01-22;35,5;22,0;28,5;57,5;0,0;5,5;;11,1
1976-01-23;33,0;23,0;27,2;64,5;0,0;5,2;;8,2
1976-01-24;35,0;22,0;28,0;59,5;0,0;4,4;;12,0
1976-01-25;37,0;22,0;29,0;58,5;0,0;5,2;;12,7
1976-01-26;37,0;24,0;29,4;60,5;0,0;5,4;;9,2
1976-01-27;37,0;24,0;29,2;62,75;0,0;5,2;;10,2
1976-01-28;33,0;22,0;26,4;68,75;5,0;5,0;;7,3
1976-01-29;31,0;20,0;24,8;75,75;8,0;3,4;;4,6
1976-01-30;33,0;20,0;26,8;64,75;2,0;2,7;;10,8
1976-01-31;33,0;23,0;27,4;68,0;0,0;4,4;;6,7
1976-02-01;31,0;19,9;25,38;75,25;77,2;3,2;;2,8
1976-02-02;30,0;22,0;25,8;76,5;0,0;2,5;;0,7
1976-02-03;32,0;21,0;26,8;73,75;4,0;2,4;;3,3
1976-02-04;34,0;21,0;27,0;76,75;20,4;2,7;;6,6
1976-02-05;32,0;23,0;26,6;86,75;0,0;3,0;;3,0
1976-02-06;32,0;21,0;26,4;75,25;33,5;1,4;;2,8
1976-02-07;34,0;21,0;27,6;72,0;1,0;2,3;;11,9
1976-02-08;34,0;23,0;27,8;70,0;0,0;3,2;;7,3
1976-02-09;33,0;23,0;26,6;79,5;0,0;2,7;;6,2
1976-02-10;33,0;19,0;25,8;65,25;2,0;2,3;;12,0
1976-02-11;33,0;18,0;25,8;56,75;0,0;4,2;;10,3
1976-02-12;33,0;18,0;26,0;56,5;0,0;4,1;;11,5
1976-02-13;34,0;18,0;26,4;60,5;0,0;4,5;;12,5
1976-02-14;35,0;20,0;27,4;59,5;0,0;4,7;;12,5
1976-02-15;34,0;21,0;27,0;67,25;0,0;4,5;;12,0
1976-02-16;32,0;22,0;26,4;80,5;0,0;3,7;;7,1
1976-02-17;33,0;22,0;27,0;71,5;10,0;2,8;;10,2
1976-02-18;34,0;21,0;27,0;62,25;0,0;2,8;;12,2
1976-02-19;33,0;21,0;27,0;62,0;0,0;3,8;;11,5
1976-02-20;33,0;22,0;27,4;66,25;0,0;3,9;;11,6
1976-02-21;34,0;23,0;28,2;59,5;0,0;4,1;;9,7
1976-02-22;35,0;21,0;28,0;64,25;0,0;5,2;;12,3
1976-02-23;36,0;22,0;28,8;57,75;0,0;4,5;;12,3
1976-02-24;35,0;23,5;28,3;62,0;0,0;5,2;;9,9
1976-02-25;33,0;22,0;27,4;60,25;0,0;4,4;;4,8
1976-02-26;34,0;22,0;27,2;62,25;0,0;3,9;;10,2
1976-02-27;31,0;22,0;26,2;73,25;0,0;4,1;;5,7
1976-02-28;32,0;21,0;25,8;79,25;11,0;2,6;;6,6
1976-02-29;33,0;21,0;26,8;65,0;2,0;2,3;;9,8
1976-03-01;34,0;20,0;26,6;65,0;0,0;3,6;;10,6
1976-03-02;34,0;21,0;26,8;61,5;0,0;4,0;;9,6
1976-03-03;33,0;22,0;26,8;64,75;0,0;3,8;;6,7
1976-03-04;34,0;22,0;26,8;66,5;0,0;3,8;;8,9
1976-03-05;34,0;21,0;27,0;70,5;0,0;3,8;;10,0
1976-03-06;33,0;21,0;26,8;63,25;0,0;3,8;;10,9
1976-03-07;33,0;19,0;26,2;65,0;0,0;3,9;;10,8
1976-03-08;33,0;20,0;26,0;68,0;0,0;3,7;;10,0
1976-03-09;34,0;20,0;26,6;64,0;0,0;4,2;;10,4
1976-03-10;33,0;21,0;27,2;61,5;2,0;3,6;;8,9
1976-03-11;35,0;20,0;27,2;60,0;0,0;3,7;;11,5
1976-03-12;35,0;21,0;27,6;58,5;0,0;4,1;;10,9
1976-03-13;35,0;22,0;27,8;62,5;0,0;4,6;;11,3
1976-03-14;36,0;22,0;28,4;62,25;0,0;4,7;;8,7
