Data;Tx;Tn;Tmed;UR;Prec;Evap;Eto;Insolação
1976-01-01;;;;;2,6;;;
1976-01-02;;;;;3,6;;;
1976-01-03;;;;;0,0;;;
1976-01-04;;;;;0,2;;;
1976-01-05;;;;;0,30000000000000004;;;
1976-01-06;;;;;0,0;;;
1976-01-07;;;;;0,0;;;
1976-01-08;;;;;0,0;;;
1976-01-09;;;;;4,4;;;
1976-01-10;;;;;0,8;;;
1976-01-11;;;;;2,7;;;
1976-01-12;;;;;13,0;;;
1976-01-13;;;;;0,0;;;
1976-01-14;;;;;0,4;;;
1976-01-15;;;;;0,0;;;
1976-01-16;;;;;0,0;;;
1976-01-17;;;;;0,0;;;
1976-01-18;;;;;2,0;;;
1976-01-19;;;;;23,7;;;
1976-01-20;;;;;9,6;;;
1976-01-21;;;;;90,2;;;
1976-01-22;;;;;12,1;;;
1976-01-23;;;;;6,8;;;
1976-01-24;;;;;19,8;;;
1976-01-25;;;;;0,30000000000000004;;;
1976-01-26;;;;;0,0;;;
1976-01-27;;;;;0,0;;;
1976-01-28;;;;;0,0;;;
1976-01-29;;;;;0,0;;;
1976-01-30;;;;;24,5;;;
1976-01-31;;;;;2,2;;;
1976-02-01;;;;;0,0;;;
1976-02-02;;;;;0,0;;;
1976-02-03;;;;;0,0;;;
1976-02-04;;;;;0,5;;;
1976-02-05;;;;;0,0;;;
1976-02-06;;;;;0,30000000000000004;;;
1976-02-07;;;;;3,5;;;
1976-02-08;;;;;0,6000000000000001;;;
1976-02-09;;;;;1,0;;;
1976-02-10;;;;;1,1;;;
1976-02-11;;;;;0,1;;;
1976-02-12;;;;;0,0;;;
1976-02-13;;;;;0,0;;;
1976-02-14;;;;;0,0;;;
1976-02-15;;;;;4,9;;;
1976-02-16;;;;;0,0;;;
1976-02-17;;;;;0,1;;;
1976-02-18;;;;;5,3;;;
1976-02-19;;;;;1,1;;;
1976-02-20;;;;;0,0;;;
1976-02-21;;;;;0,8;;;
1976-02-22;;;;;1,1;;;
1976-02-23;;;;;0,5;;;
1976-02-24;;;;;6,5;;;
1976-02-25;;;;;5,1;;;
1976-02-26;;;;;31,4;;;
1976-02-27;;;;;4,9;;;
1976-02-28;;;;;2,5;;;
1976-02-29;;;;;;;;
1976-03-01;;;;;0,9;;;
1976-03-02;;;;;0,0;;;
1976-03-03;;;;;0,0;;;
1976-03-04;;;;;0,0;;;
1976-03-05;;;;;13,8;;;
1976-03-06;;;;;12,8;;;
1976-03-07;;;;;0,0;;;
1976-03-08;;;;;0,0;;;
1976-03-09;;;;;1,4;;;
1976-03-10;;;;;0,0;;;
1976-03-11;;;;;0,0;;;
1976-03-12;;;;;0,0;;;
1976-03-13;;;;;0,0;;;
1976-03-14;;;;;0,5;;;
1976-03-15;;;;;0,8;;;
1976-03-16;;;;;0,0;;;
1976-03-17;;;;;0,0;;;
1976-03-18;;;;;0,0;;;
1976-03-19;;;;;0,0;;;
1976-03-20;;;;;0,0;;;
1976-03-21;;;;;0,0;;;
1976-03-22;;;;;0,0;;;
1976-03-23;;;;;0,5;;;
1976-03-24;;;;;1,3;;;
1976-03-25;;;;;6,0;;;
1976-03-26;;;;;0,0;;;
1976-03-27;;;;;0,0;;;
1976-03-28;;;;;0,0;;;
1976-03-29;;;;;0,0;;;
1976-03-30;;;;;0,0;;;
1976-03-31;;;;;0,0;;;
1976-04-01;31,8;20,2;25,36;77,25;0,0;2,8;4,25999227694741;6.5
1976-04-02;32,2;21,3;26,04;78,25;0,1;3,3;4,194519092834889;9
1976-04-03;32,2;21,5;26,060000000000002;81,25;0,0;3,5;4,157755026997032;10
1976-04-04;28,8;21,2;24,66;88,75;4,8;3,8;3,3922290352397;0.7
1976-04-05;31,2;21,0;25,04;84,5;0,8;1,8;3,9650432526297172;7.6
1976-04-06;30,3;22,2;25,919999999999998;79,0;2,5;3,3;3,6059611537694103;6.4
1976-04-07;30,8;21,0;25,8;76,0;0,3;3,6;3,955468299264096;9.2
1976-04-08;32,4;20,8;25,800000000000004;80,75;0,0;5,0;4,303421299233252;10
1976-04-09;32,3;21,6;25,72;83,75;0,0;4,2;4,125524367873022;7.9
1976-04-10;30,3;22,4;25,2;89,25;1,6;3,7;3,502518052321787;0.9
1976-04-11;31,2;20,9;25,459999999999997;81,0;0,0;2,6;4,023495394901914;8.2
