Município- Nome da Estação;Estado;Latitude;Longitude;Altitude_m;CÓD;TIPO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;ANO;VER;OUTO;INV;PRI
Aimores- Aimores-MG;MG;-19,49;-41,08;80;;Conve.;171,1;76,5;114,7;56,4;34,3;13,4;11,9;19;30,3;78,4;180,6;204,4;991,1;452;205,4;44,3;289,3
Alfredo Chaves;ES;-20,63;-40,73;16;;Conve.;169,9;90,4;164;150;80,3;52,8;76,6;71,7;113,1;152,2;232,3;225,8;1579,1;486,1;394,3;201,1;497,6
Alfredo Chaves- Cafundó;ES;-20,62;-40,78;140;;Conve.;189,4;97,2;214,8;139,1;91,9;57,9;81,9;84,3;114,7;146,9;285,4;271,3;1774,7;557,8;445,8;224;547,1
Aracruz;ES;-19,82;-40,25;0;;Conve.;204;98,7;173,4;104,4;54,3;32,4;54,1;58,1;79,6;119;225,4;273,4;1476,8;576,1;332,1;144,6;424
Boa Esperança;ES;-18,53;-40,29;150;;Conve.;131,4;77,2;133;89,7;39,3;34,9;39,5;38,6;37,4;75,5;216,6;175,3;1088,3;383,9;262;113;329,5
Cachoeiro do Itapemrim;ES;-20,83;-41,19;50;;Conve.;150;87,5;132,2;97,4;44,1;21,8;32,8;40,3;46,2;95,8;182,6;200,3;1131;437,8;273,7;94,9;324,6
Cachoeiro do Itapemrim- Fazenda Experimental do Bananal do Norte;ES;-20,75;-41,23;50;;Conve.;178,2;102,5;151,2;92,9;47,9;27,3;26,8;32,4;60,2;93,3;195,2;227,9;1235,7;508,7;291,9;86,5;348,7
Campos-RJ;RJ;-21,74;-41,33;70;;Conve.;125,1;60,1;106;68,3;57,5;29,9;33;28,2;57,3;82,9;154,2;152,4;954,7;337,6;231,7;91;294,4
Caparaó-MG;MG;-20,53;-41,91;140;;Conve.;208,4;142;165,5;77,9;41,2;15,6;11,7;22,8;41,6;101,2;208,7;263,3;1300,2;613,8;284,6;50,2;351,6
Domingos Martins - Aracê;ES;-20,38;-41,05;950;;Conve.;221,5;116,3;182,1;103,2;46,7;19,3;21,9;29,8;47,2;117,2;220,7;264,9;1390,9;602,7;332,1;71;385,1
Ecoporanga;ES;-18,37;-40,83;250;;Conve.;189,2;119,3;162,4;89,5;41,8;33,2;42,3;46,5;49,7;113,9;225,1;242,7;1355,5;551,1;293,7;122;388,7
Itaperuna;ES;-21,2;-41,9;124;;Conve.;181,7;106,4;145,4;77,5;42,2;21,6;17;21;59,5;87;195,9;227,3;1182,5;515,4;265,1;59,6;342,4
Itarana;ES;-19,87;-40,88;245;;Conve.;181,7;99,2;132,8;69,5;34;19,8;18,1;20,3;32,4;96,7;195,9;223,8;1123,9;504,7;236,2;58,1;324,9
Linhares;ES;-19,41;-40,07;28;;Conve.;147,6;98,7;131,3;94;52,5;44,3;50,1;48,4;65,3;106,5;216,2;204,6;1259,7;451;277,9;142,8;388
Marilândia;ES;-19,4;-40,52;140;;Conve.;171,4;96,3;145,9;73,5;35,6;33;30,7;36;36,2;92,1;180,2;210,7;1141,4;478,3;255;99,6;308,5
Mucurici;ES;-18,1;-40,52;226;;Conve.;124,6;82,3;103,6;65,6;31;19,4;33,9;25,1;37;86,2;154,3;164,5;927,5;371,3;200,2;78,4;277,6
Muniz Freire;ES;-20,47;-41,42;575;;Conve.;188,7;129,5;183,7;112,4;50,3;22,7;21;29,2;49,8;107,8;200,1;251,6;1346,6;569,7;346,4;72,9;357,7
Santa Maria de Jetibá;ES;-20,01;-40,49;140;;Conve.;150,1;67,6;147,9;79,9;42,7;23,2;34,2;35,2;52,5;94,5;192,9;232,1;1152,6;449,7;270,5;92,5;339,9
Santa Teresa;ES;-19,93;-40,58;648;;Conve.;231,7;113,4;163;85,2;47,2;35,3;49,5;57,8;65,2;105,6;219,7;227,7;1401,4;572,8;295,5;142,6;390,5
Santa Teresa- São João do Petrópolis;ES;-19,87;-40,65;174;;Conve.;188,8;100,1;143,2;61,2;31,8;22,3;19,2;22,4;33,8;92,5;167,8;180,7;1063,6;469,6;236,2;63,8;294
São Gabriel da Palha;ES;-19,01;-40,54;120;;Conve.;206,6;101,2;133,1;69,8;33,2;24,6;31,5;32,2;39,3;81,1;185,2;230,9;1168,8;538,8;236,1;88,3;305,6
São Mateus;ES;-18,7;-39,83;25;;Conve.;150,6;93,7;150,2;114,2;59,8;55,8;65,7;53;81,5;114,1;192,2;182,3;1313;426,6;324,1;174,5;387,8
Sooretama- Fazenda Experimental de Sooretama;ES;-19,11;-40,08;75;;Conve.;135,1;67,7;154,5;91,8;53,5;49,7;49,2;46,3;61,9;97,9;241,4;210,8;1259,8;413,6;299,8;145,3;401,2
Venda Nova do Imigrante;ES;-20,32;-41,17;750;;Conve.;253,6;130,2;176,9;116,1;53,9;30,6;36;40;71,8;115,5;215;254,6;1494,1;638,4;346,9;106,5;402,2
Viana;ES;-20,37;-40,51;20;;Conve.;162,2;105,6;194,3;112;66,8;64;61,7;77,5;88,9;135,2;240,5;229;1537,7;496,8;373,1;203,2;464,7
Vitória;ES;-20,3;-40,32;36;;Conve.;152;88,2;118,4;109;64,5;54,9;67,9;61,8;74,5;121,8;212,8;220,4;1346,3;460,6;292;184,6;409,1
