Data;Tx;Tn;Tmed;UR;Prec;Evap;Eto;Insolação
01/01/1976;29,2;21,4;25,28;72,5;0,0;3,3;;11,4
02/01/1976;29,6;22,2;25,76;73,5;0,0;3,4;;10,1
03/01/1976;30,3;22,5;26,24;75,0;0,0;2,8;;8,9
04/01/1976;30,4;23,0;26,28;71,75;0,0;3,0;;10,9
05/01/1976;30,3;22,4;25,98;72,25;0,0;3,3;;11,2
06/01/1976;32,4;22,4;26,54;72,25;0,0;3,6;;11,5
07/01/1976;34,3;22,4;27,26;67,5;0,0;3,4;;12,1
08/01/1976;35,4;22,5;27,44;73,0;0,0;3,8;;8,1
09/01/1976;36,6;22,7;28,42;66,25;0,0;3,2;;10,8
10/01/1976;35,4;23,6;27,8;57,5;0,0;4,5;;11,6
11/01/1976;34,8;22,5;27,66;63,5;0,0;4,6;;11,9
12/01/1976;35,4;22,3;27,26;73,25;0,0;4,2;;11,9
13/01/1976;31,6;23,2;26,92;72,0;0,0;3,5;;11,7
14/01/1976;32,3;22,7;26,68;69,25;0,0;3,8;;11,3
15/01/1976;33,0;23,1;27,18;67,0;0,0;4,1;;11,2
16/01/1976;35,1;21,5;27,36;66,0;0,0;4,0;;11,6
17/01/1976;33,2;21,8;26,68;72,25;0,0;4,4;;10,4
18/01/1976;32,2;23,2;26,8;67,75;0,0;3,5;;11,7
19/01/1976;32,4;22,0;26,7;66,5;0,0;4,6;;11,8
20/01/1976;34,7;21,7;27,08;65,5;0,0;4,3;;11,4
21/01/1976;33,8;21,7;26,92;68,5;0,0;4,8;;11,1
22/01/1976;33,0;19,6;24,0;79,75;0,0;3,6;;8,4
23/01/1976;30,1;19,5;24,68;74,75;15,2;3,3;;7,0
24/01/1976;31,4;21,8;25,96;74,75;0,0;2,5;;11,5
25/01/1976;35,6;22,2;27,94;66,0;0,0;2,9;;11,5
26/01/1976;34,8;24,0;28,6;66,5;0,0;4,2;;9,3
27/01/1976;35,7;23,2;27,94;72,75;0,0;3,7;;10,0
28/01/1976;31,4;23,9;26,62;75,25;0,0;3,6;;11,4
29/01/1976;31,4;22,3;26,26;67,25;0,0;3,6;;11,2
30/01/1976;31,0;22,2;26,32;73,5;0,0;3,9;;6,7
31/01/1976;32,6;22,3;26,16;82,0;1,4;2,9;;6,5
01/02/1976;31,6;21,4;25,5;76,0;3,4;2,1;;3,7
02/02/1976;26,5;23,5;24,38;88,25;3,2;2,4;;0,2
03/02/1976;30,8;22,8;25,88;84,0;4,0;1,0;;1,6
04/02/1976;35,0;22,7;27,54;81,0;7,5;1,6;;8,3
05/02/1976;31,8;23,8;27,16;79,25;10,3;2,0;;10,4
06/02/1976;33,8;24,0;27,8;73,5;0,0;2,8;;10,4
07/02/1976;35,4;24,5;27,76;76,75;0,0;3,1;;4,8
08/02/1976;32,0;24,1;26,96;78,0;0,0;2,5;;5,1
09/02/1976;30,8;23,4;25,42;70,25;1,5;2,7;;6,7
10/02/1976;29,6;20,4;24,6;64,25;0,0;3,0;;10,3
11/02/1976;29,4;20,8;24,36;70,0;0,0;3,8;;5,4
12/02/1976;30,2;20,2;24,6;64,0;0,0;3,3;;11,3
13/02/1976;31,7;19,5;25,08;69,75;0,0;3,8;;11,5
14/02/1976;31,8;20,8;25,84;69,0;0,0;3,5;;10,9
15/02/1976;32,0;22,0;26,12;75,75;3,0;3,1;;10,3
16/02/1976;34,8;22,4;27,62;75,25;0,2;2,6;;8,2
17/02/1976;32,7;23,6;27,64;71,0;0,1;2,6;;9,7
18/02/1976;33,1;23,1;27,12;69,5;0,0;3,3;;11,0
19/02/1976;33,5;22,3;27,08;68,5;0,0;3,6;;11,2
20/02/1976;34,9;22,9;27,7;66,0;0,0;4,2;;10,2
21/02/1976;33,9;22,3;27,44;68,25;0,0;4,1;;11,2
22/02/1976;36,8;22,9;28,3;68,5;0,0;3,8;;11,2
23/02/1976;36,2;23,0;28,64;66,75;0,0;4,2;;10,2
24/02/1976;35,7;23,5;27,96;69,0;0,0;4,2;;10,5
25/02/1976;34,0;24,0;27,52;67,25;0,0;4,1;;6,2
26/02/1976;31,6;22,7;27,06;65,5;0,0;3,9;;9,6
27/02/1976;31,9;22,4;26,96;65,75;0,0;4,2;;10,4
28/02/1976;31,5;23,9;27,52;67,25;0,0;4,5;;9,9
29/02/1976;33,9;24,0;27,78;66,5;0,0;4,5;;10,8
01/03/1976;33,4;22,4;27,1;68,5;0,0;4,5;;10,5
02/03/1976;33,7;23,0;27,34;67,5;0,0;4,3;;8,2
03/03/1976;31,4;23,4;26,94;67,0;0,0;4,2;;10,6
04/03/1976;32,0;23,0;26,92;73,25;0,0;4,1;;10,8
05/03/1976;32,2;23,9;26,74;76,0;0,6;3,1;;10,6
06/03/1976;31,8;23,2;26,4;72,0;0,0;2,8;;10,3
07/03/1976;32,5;22,0;26,62;69,75;0,0;3,4;;11,0
08/03/1976;32,2;21,8;26,72;66,25;0,0;4,0;;9,4
09/03/1976;32,6;22,3;26,86;68,5;0,0;4,3;;11,1
10/03/1976;32,3;22,5;26,92;68,25;0,0;4,1;;10,6
11/03/1976;32,6;22,4;26,86;67,75;0,0;4,0;;10,9
12/03/1976;31,7;22,3;26,58;68,0;0,0;4,4;;10,5
13/03/1976;34,1;22,1;27,34;68,5;0,0;4,5;;10,7
14/03/1976;35,4;22,7;27,98;70,25;0,0;4,0;;10,1
15/03/1976;34,6;24,2;27,6;73,75;0,0;3,1;;9,3
16/03/1976;31,8;22,9;26,14;69,0;1,1;3,2;;8,8
17/03/1976;34,8;22,1;26,9;70,25;0,0;3,3;;10,4
18/03/1976;35,1;21,8;27,44;65,5;0,0;3,2;;4,5
19/03/1976;33,6;23,6;27,46;74,0;0,0;3,5;;7,9
