Data;Tx;Tn;Tmed;UR;Prec;Evap;Eto;Insolação
01/01/1976;27,5;14,7;20,84;73,5;0,0;3,7;;8,3
02/01/1976;27,6;15,2;21,12;73,75;0,0;3,3;;9,6
03/01/1976;28,7;16,0;21,26;80,75;0,0;3,0;;7,0
04/01/1976;27,0;15,5;20,62;80,75;9,1;2,4;;6,5
05/01/1976;27,0;16,0;21,0;79,5;2,0;2,4;;4,8
06/01/1976;27,0;17,3;21,78;70,25;0,0;2,5;;6,5
07/01/1976;29,4;16,3;22,5;65,0;0,0;3,4;;12,5
08/01/1976;31,3;16,6;22,48;73,0;0,0;4,6;;10,9
09/01/1976;30,4;15,4;21,8;76,0;0,0;4,1;;9,3
10/01/1976;29,4;14,8;22,34;71,25;2,8;3,2;;9,8
11/01/1976;32,0;16,4;23,8;64,25;0,0;3,3;;12,6
12/01/1976;32,6;14,6;22,94;74,0;0,0;4,3;;8,1
13/01/1976;28,6;16,0;20,94;82,25;17,6;3,0;;8,1
14/01/1976;28,7;14,7;20,8;78,5;0,5;2,2;;11,0
15/01/1976;29,4;14,3;21,12;69,0;0,0;3,3;;12,1
16/01/1976;30,8;15,4;21,62;72,25;0,0;4,0;;11,6
17/01/1976;31,4;15,4;22,84;71,5;0,0;3,8;;11,5
18/01/1976;30,6;15,4;21,74;70,5;0,0;3,7;;12,0
19/01/1976;29,5;14,7;21,14;68,25;0,0;4,3;;11,5
20/01/1976;29,7;13,6;21,18;72,0;0,0;3,8;;11,6
21/01/1976;31,4;14,3;22,76;66,25;0,0;3,0;;10,3
22/01/1976;30,4;15,4;22,32;69,75;0,0;4,6;;8,7
23/01/1976;27,4;13,9;20,74;76,0;2,4;4,9;;3,8
24/01/1976;29,0;14,0;20,74;79,0;0,0;2,8;;5,9
25/01/1976;31,4;14,5;23,52;62,0;4,0;2,7;;12,4
26/01/1976;32,0;17,7;23,02;76,25;0,0;5,0;;6,9
27/01/1976;29,0;16,0;21,94;81,75;4,6;3,7;;4,8
28/01/1976;29,6;17,0;22,6;61,75;8,3;2,0;;8,1
29/01/1976;26,0;10,4;19,28;77,0;0,0;3,3;;5,4
30/01/1976;27,8;11,6;20,36;74,25;3,6;2,2;;9,8
31/01/1976;26,4;14,9;20,34;84,75;0,0;2,9;;4,8
01/02/1976;24,4;14,3;19,34;83,75;3,7;2,5;;1,2
02/02/1976;22,0;15,4;19,2;86,5;7,8;2,7;;0,0
03/02/1976;27,2;15,0;20,9;79,25;21,6;1,4;;3,2
04/02/1976;29,9;16,6;22,86;79,75;3,8;2,3;;9,5
