Data;Tx;Tn;Tmed;UR;Prec;Evap;Eto;Insolação
01/01/1976;30,2;19,2;24,56;66,75;0,0;6,8;;11,7
02/01/1976;30,8;19,4;25,1;69,25;0,0;6,6;;11,3
03/01/1976;30,8;21,8;25,64;73,0;0,0;5,2;;5,5
04/01/1976;31,4;22,2;26,02;66,25;0,0;4,8;;9,3
05/01/1976;31,4;22,0;25,84;70,75;0,0;5,5;;6,8
06/01/1976;32,0;21,4;26,6;70,0;0,0;5,5;;9,1
07/01/1976;35,0;21,0;27,92;59,0;0,8;3,5;;10,7
08/01/1976;34,7;21,6;28,18;63,0;0,0;6,1;;10,0
09/01/1976;35,6;22,4;27,84;63,0;0,0;5,2;;11,1
10/01/1976;35,0;20,8;26,72;70,75;0,0;5,3;;8,7
11/01/1976;35,6;22,0;28,68;57,75;0,0;3,5;;11,9
12/01/1976;36,0;22,6;29,08;64,25;0,0;6,0;;12,1
13/01/1976;35,4;22,2;27,16;70,5;0,0;7,0;;11,0
14/01/1976;34,3;21,0;26,86;64,5;0,0;5,2;;11,9
15/01/1976;35,0;20,6;27,36;60,5;0,0;6,2;;11,5
16/01/1976;36,2;20,6;28,16;56,5;0,0;7,0;;12,0
17/01/1976;36,2;21,2;28,16;62,5;0,0;6,8;;11,4
18/01/1976;35,6;21,5;27,28;65,25;0,0;7,4;;9,9
19/01/1976;35,0;21,0;27,32;64,0;0,0;7,0;;11,5
20/01/1976;35,8;20,6;27,96;60,5;0,0;7,2;;11,5
21/01/1976;36,2;20,6;28,0;62,75;0,0;7,8;;11,3
22/01/1976;33,8;23,0;26,24;68,0;0,0;9,2;;8,8
23/01/1976;32,0;19,6;25,36;67,75;0,6;7,6;;8,0
24/01/1976;34,3;20,2;26,66;65,25;0,0;6,6;;11,7
25/01/1976;36,6;21,0;28,04;65,5;0,0;6,8;;10,7
26/01/1976;38,4;23,5;28,96;66,25;0,0;7,6;;7,2
27/01/1976;34,2;22,2;27,24;74,75;5,2;5,0;;6,7
28/01/1976;33,8;24,1;27,18;68,25;0,0;5,1;;11,0
29/01/1976;32,6;19,0;25,32;67,25;0,0;8,0;;10,9
30/01/1976;32,2;20,2;25,36;73,25;0,0;8,8;;6,9
31/01/1976;30,2;21,8;24,58;84,0;6,5;4,8;;5,4
01/02/1976;29,2;20,0;24,56;82,25;15,8;2,6;;2,9
02/02/1976;25,8;22,4;24,36;88,0;0,4;3,2;;0,0
03/02/1976;32,2;22,4;25,68;88,75;5,4;1,4;;5,9
04/02/1976;33,4;21,6;26,88;76,0;7,9;3,0;;9,2
05/02/1976;33,5;23,5;26,7;88,5;0,0;3,8;;5,4
06/02/1976;35,4;23,2;28,64;68,25;1,3;2,5;;9,0
07/02/1976;34,8;24,5;27,62;73,75;0,0;4,6;;5,5
08/02/1976;33,9;20,9;25,06;87,0;2,0;2,9;;7,3
09/02/1976;28,6;21,0;23,84;88,75;78,2;3,5;;4,3
10/02/1976;29,5;19,4;24,42;68,0;0,9;1,5;;10,3
11/02/1976;28,7;18,0;23,24;73,0;0,0;2,5;;10,2
12/02/1976;29,4;18,0;23,44;62,25;0,0;5,5;;11,2
13/02/1976;30,4;17,6;24,4;69,25;0,0;6,7;;11,8
14/02/1976;31,4;18,3;24,86;70,75;0,0;5,8;;10,9
15/02/1976;32,2;20,8;25,84;74,5;0,0;5,2;;10,9
16/02/1976;32,2;21,2;26,24;82,75;0,0;5,2;;7,8
17/02/1976;32,2;22,7;26,58;75,25;0,4;3,1;;6,1
18/02/1976;33,4;23,0;26,64;71,75;0,0;4,5;;10,5
19/02/1976;32,5;21,4;26,02;71,0;0,0;6,0;;8,7
20/02/1976;34,1;20,5;26,86;65,25;0,0;4,4;;11,1
21/02/1976;35,4;20,4;27,3;68,5;0,0;6,0;;11,0
22/02/1976;36,0;21,0;28,28;62,5;0,0;6,0;;11,1
23/02/1976;35,8;22,2;28,1;63,5;0,0;6,2;;9,5
24/02/1976;34,6;21,6;27,64;68,75;3,7;6,4;;8,8
25/02/1976;32,6;21,6;26,86;70,5;0,0;5,0;;7,3
26/02/1976;32,5;22,4;26,74;69,0;3,1;4,1;;8,1
27/02/1976;33,0;20,0;26,4;64,25;0,0;5,3;;10,6
28/02/1976;34,0;21,0;27,04;66,0;0,0;6,8;;9,7
29/02/1976;34,3;23,3;27,56;60,0;0,6;6,0;;8,8
01/03/1976;34,2;20,6;26,58;60,75;0,0;6,5;;9,8
02/03/1976;34,6;20,7;26,54;62,5;0,0;6,1;;9,1
03/03/1976;33,9;20,9;26,24;64,25;0,0;6,9;;10,2
04/03/1976;33,7;20,3;26,14;63,25;0,0;7,2;;10,6
