Data;Tx;Tn;Tmed;UR;Prec;Evap;Eto;Insolação
01/01/1976;28,4;19,2;23,779999999999998;82,5;0,0;5,8;4,844207144245725;7.7
02/01/1976;30,0;21,2;24,8;84,25;0,8;2,6;4,853949373474429;9
03/01/1976;29,7;20,6;23,52;89,75;0,2;3,2;4,787682215151409;2.2
04/01/1976;31,0;20,3;24,5;82,0;1,8;3,9;5,314673182023923;9.3
05/01/1976;30,6;19,8;24,279999999999998;82,0;0,5;3,3;5,311680156559116;10.3
06/01/1976;30,8;19,6;24,8;80,75;0,0;4,2;5,475993419907223;8
07/01/1976;31,6;22,7;26,0;77,5;0,3;5,2;5,018956377321843;11.9
08/01/1976;32,4;23,6;27,0;79,25;0,0;6,1;5,104622815297051;11.6
09/01/1976;32,6;23,9;27,32;76,75;0,0;6,7;5,111790240134114;12.5
10/01/1976;32,1;23,3;26,040000000000003;76,5;0,0;6,5;4,995238040683544;10.9
11/01/1976;32,7;22,0;26,3;70,75;0,0;8,5;5,540829487641965;11.7
12/01/1976;32,8;23,1;26,619999999999997;77,5;0,0;7,3;5,313843118470147;12.3
13/01/1976;30,5;22,9;25,639999999999997;78,5;0,0;6,0;4,59982087558892;10.9
14/01/1976;31,1;19,8;25,18;74,5;0,0;5,1;5,549449965041708;10.7
15/01/1976;29,2;20,1;24,52;81,75;0,0;5,0;4,903550613388374;5.4
16/01/1976;31,8;20,5;25,7;76,75;27,3;3,3;5,616590820830951;12
17/01/1976;32,0;21,8;25,840000000000003;77,5;0,0;5,8;5,353393101680499;11.9
18/01/1976;32,1;20,3;25,38;77,5;0,0;5,4;5,697285049119237;12
19/01/1976;31,0;19,9;25,18;74,25;0,0;5,4;5,500120542130106;12.1
20/01/1976;30,9;22,9;25,880000000000003;73,25;0,0;6,4;4,745390214430372;11.4
21/01/1976;32,4;20,6;25,7;80,0;0,0;6,5;5,739506707658332;11.5
22/01/1976;32,1;21,4;25,96;77,5;0,0;5,1;5,498111074358557;9.6
23/01/1976;29,3;21,4;24,659999999999997;88,5;0,0;4,5;4,583928581720999;4.5
24/01/1976;31,5;20,7;25,6;74,0;0,0;2,4;5,478301302154603;9.8
25/01/1976;32,2;22,9;26,6;76,25;0,0;5,2;5,2007832169692305;12.3
26/01/1976;33,9;23,0;27,080000000000002;76,0;0,0;7,0;5,691285920670001;11.5
27/01/1976;32,9;22,9;26,48;80,0;0,0;6,7;5,378385400570547;10.1
28/01/1976;31,6;21,7;24,86;79,75;11,1;5,5;5,155642030894422;10.8
29/01/1976;29,0;19,8;24,259999999999998;88,75;3,9;5,2;4,900128727440481;4.2
30/01/1976;29,7;20,4;24,48;84,25;3,8;2,2;4,952457531834662;7.6
31/01/1976;27,9;20,7;24,44;90,25;12,4;2,5;4,353459062047194;3.9
01/02/1976;29,6;20,9;24,9;83,0;6,6;2,0;4,614568669883458;2.4
02/02/1976;29,0;24,2;25,879999999999995;93,25;0,0;3,6;3,5062821453759203;0.2
03/02/1976;30,3;22,1;25,939999999999998;88,0;86,5;2,2;4,58911897066022;2.2
04/02/1976;31,8;23,1;26,26;88,0;0,9;3,2;4,761543222366865;6.2
05/02/1976;30,5;23,6;26,78;85,25;0,0;3,9;4,2905031121977455;5.8
06/02/1976;28,9;23,7;25,44;89,0;5,2;4,3;3,612692262369928;3.2
07/02/1976;30,9;21,8;25,820000000000004;84,0;9,6;2,0;4,8211425108003665;8.7
08/02/1976;31,2;23,0;26,120000000000005;85,25;0,4;3,8;4,608004233913966;6.7
09/02/1976;27,2;22,2;24,12;88,25;0,0;3,2;3,434392190789612;0.3
10/02/1976;29,1;18,4;23,76;74,5;23,2;2,8;4,980936894859196;9.2
11/02/1976;30,5;21,4;25,22;65,5;0,0;7,5;4,754826932935162;9.9
12/02/1976;30,1;19,3;24,618;69,0;0,0;8,5;5,107468270692164;12.2
13/02/1976;31,7;20,0;25,76;76,0;0,0;8,1;5,459142285459092;10.8
14/02/1976;31,3;20,9;25,439999999999998;78,0;0,0;5,6;5,109118394123893;12
15/02/1976;32,1;22,0;25,48;84,25;0,0;4,6;5,039547590863717;6.7
16/02/1976;27,4;20,4;24,48;91,0;1,0;3,1;4,098525207056119;1.9
17/02/1976;29,3;21,6;24,96;83,25;1,7;1,5;4,347370669082187;6.7
18/02/1976;31,0;19,4;24,52;82,0;0,1;3,2;5,281025511285805;9.7
19/02/1976;30,2;19,3;24,6;80,25;0,5;3,7;5,128882118076654;6.3
20/02/1976;29,1;20,4;25,060000000000002;83,5;0,1;3,1;4,631859793705035;2.6
21/02/1976;30,8;20,4;25,439999999999998;79,25;0,0;3,3;5,109118394123893;9.4
22/02/1976;31,7;22,3;26,18;81,5;0,0;4,4;4,940407401010279;11.1
23/02/1976;33,1;23,9;27,160000000000004;77,25;0,0;5,4;4,996476257528574;11.5
24/02/1976;30,0;24,4;26,660000000000004;77,75;0,0;6,5;3,854846451724399;9.8
25/02/1976;30,4;22,3;25,720000000000006;78,0;0,0;5,7;4,5381098885655335;9.7
26/02/1976;30,6;19,0;24,78;78,75;0,0;5,6;5,313470375012987;9.4
