Data;Tx;Tn;Tmed;UR;Prec;Evap;Eto;Insolação
01/01/1976;;;;;;;;
02/01/1976;;;;;;;;
03/01/1976;;;;;;;;
04/01/1976;;;;;;;;
05/01/1976;;;;;;;;
06/01/1976;;;;;;;;
07/01/1976;;;;;;;;
08/01/1976;;;;;;;;
09/01/1976;;;;;;;;
10/01/1976;;;;;;;;
11/01/1976;;;;;;;;
12/01/1976;;;;;;;;
13/01/1976;;;;;;;;
14/01/1976;;;;;;;;
15/01/1976;;;;;;;;
16/01/1976;;;;;;;;
17/01/1976;;;;;;;;
18/01/1976;;;;;;;;
19/01/1976;;;;;;;;
20/01/1976;;;;;;;;
21/01/1976;;;;;;;;
22/01/1976;;;;;;;;
23/01/1976;;;;;;;;
24/01/1976;;;;;;;;
25/01/1976;;;;;;;;
26/01/1976;;;;;;;;
27/01/1976;;;;;;;;
28/01/1976;;;;;;;;
29/01/1976;;;;;;;;
30/01/1976;;;;;;;;
31/01/1976;;;;;;;;
01/02/1976;;;;;;;;
02/02/1976;;;;;;;;
03/02/1976;;;;;;;;
04/02/1976;;;;;;;;
05/02/1976;;;;;;;;
06/02/1976;;;;;;;;
07/02/1976;;;;;;;;
08/02/1976;;;;;;;;
09/02/1976;;;;;;;;
10/02/1976;;;;;;;;
11/02/1976;;;;;;;;
12/02/1976;;;;;;;;
13/02/1976;;;;;;;;
14/02/1976;;;;;;;;
15/02/1976;;;;;;;;
16/02/1976;;;;;;;;
17/02/1976;;;;;;;;
18/02/1976;;;;;;;;
19/02/1976;;;;;;;;
20/02/1976;;;;;;;;
21/02/1976;;;;;;;;
22/02/1976;;;;;;;;
23/02/1976;;;;;;;;
24/02/1976;;;;;;;;
25/02/1976;;;;;;;;
26/02/1976;;;;;;;;
27/02/1976;;;;;;;;
28/02/1976;;;;;;;;
29/02/1976;;;;;;;;
01/03/1976;;;;;;;;
02/03/1976;;;;;;;;
03/03/1976;;;;;;;;
04/03/1976;;;;;;;;
05/03/1976;;;;;;;;
06/03/1976;;;;;;;;
07/03/1976;;;;;;;;
08/03/1976;;;;;;;;
09/03/1976;;;;;;;;
10/03/1976;;;;;;;;
11/03/1976;;;;;;;;
12/03/1976;;;;;;;;
13/03/1976;;;;;;;;
14/03/1976;;;;;;;;
15/03/1976;;;;;;;;
16/03/1976;;;;;;;;
17/03/1976;;;;;;;;
18/03/1976;;;;;;;;
19/03/1976;;;;;;;;
20/03/1976;;;;;;;;
21/03/1976;;;;;;;;
22/03/1976;;;;;;;;
23/03/1976;;;;;;;;
24/03/1976;;;;;;;;
25/03/1976;;;;;;;;
26/03/1976;;;;;;;;
27/03/1976;;;;;;;;
28/03/1976;;;;;;;;
29/03/1976;;;;;;;;
30/03/1976;;;;;;;;
31/03/1976;;;;;;;;
01/04/1976;26,7;20,2;21,96;77,75;0,0;;2,8770409920756332;
02/04/1976;27,4;20,0;21,16;75,25;0,0;                                                                                                                                            ;3,007999805147817;
03/04/1976;27,4;20,0;21,939999999999998;80,75;0,0;;3,06822156716053;
04/04/1976;26,4;21,2;21,740000000000002;81,5;0,0;;2,559065091011148;
05/04/1976;27,3;20,0;21,66;78,0;0,3;;3,0259483216134773;
06/04/1976;27,8;21,3;21,9;74,25;0,0;;2,8726993809205896;
07/04/1976;29,0;20,1;23,159999999999997;68,75;0,0;;3,4681505928886973;
08/04/1976;30,7;21,9;22,68;77,0;0,0;;3,40819814410045;
09/04/1976;27,4;22,0;21,7;74,25;20,7;;2,605175415969795;
10/04/1976;27,3;20,1;22,119999999999997;73,75;0,0;;3,040183352386763;
11/04/1976;30,1;21,4;23,640000000000004;71,25;0,0;;3,4691443315248303;
12/04/1976;27,5;21,2;22,0;70,75;0,0;;2,835282533846961;
13/04/1976;26,7;21,6;21,78;70,25;0,0;;2,536903067781917;
14/04/1976;27,7;20,1;22,28;70,0;0,0;;3,1360104754015055;
15/04/1976;26,3;19,2;21,28;74,25;9,8;;2,9554711554837687;
