VITORIA (83648);;;;;;;;;;;
Data;Hora (UTC);Temp. [Hora] (C);Umi. (%);Pressao (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Nebulosidade (Decimos);Insolacao (h);Temp. Max. [Diaria] (h);Temp. Min. [Diaria] (h);Chuva [Diaria] (mm)
01/01/1961;1200;27,7;65;1007,6;4;36;8;;;24;
01/01/1961;1800;30,1;66;1005,4;3;9;8;;;;
02/01/1961;0;25,2;81;1006,3;4;36;6;0;25,5;;
02/01/1961;1200;25;86;1007,2;2;36;8;;;23,4;1,2
02/01/1961;1800;25,1;88;1004,7;4;5;8;;;;
03/01/1961;0;24,1;92;1005,9;4;5;8;0,2;28,8;;
03/01/1961;1200;23,9;89;1005,6;4;5;8;;;22,4;7,9
03/01/1961;1800;28,2;75;1002;3;5;8;;;;
04/01/1961;0;24,4;84;1004,4;6;5;8;0;28;;
04/01/1961;1200;24;89;1005,4;3;5;8;;;22,6;1,6
04/01/1961;1800;27,6;77;1002,4;2;5;8;;;;
05/01/1961;0;24,4;94;1005,6;3;5;8;0;27,6;;
05/01/1961;1200;26,3;84;1006,3;2;36;8;;;23,6;0,2
05/01/1961;1800;27;82;1004,2;2;5;8;;;;
06/01/1961;0;24,9;93;1005;1;36;8;1,4;29,4;;
06/01/1961;1200;26,4;83;1006,6;3;36;8;;;23,9;2,4
06/01/1961;1800;27,6;78;1005,5;4;5;6;;;;
07/01/1961;0;25,2;88;1005,5;2;36;0;6,1;32,2;;
07/01/1961;1200;28;72;1006,2;3;36;8;;;22,9;0
07/01/1961;1800;31,4;65;1003,1;6;5;3;;;;
08/01/1961;0;25,4;85;1005,2;4;36;8;10,4;32,6;;
08/01/1961;1200;28,9;67;1007,9;2;5;3;;;23,4;1,8
08/01/1961;1800;30,6;67;1005,4;4;5;0;;;;
09/01/1961;0;25,4;86;1006,4;3;5;6;5,1;32,2;;
09/01/1961;1200;28,2;75;1007,6;3;36;5;;;24;1,3
09/01/1961;1800;28,4;74;1004,2;5;5;6;;;;
10/01/1961;0;25,1;85;1007;4;5;4;3,9;31,6;;
10/01/1961;1200;27,4;76;1006,4;2;5;6;;;23,2;24,6
