Nome: VITORIA;
Codigo Estacao: 83648;
Latitude: -20.31583333;
Longitude: -40.31694443;
Altitude: 36.2;
Situacao: Operante;
Data Inicial: 1990-01-01;
Data Final: 2020-12-31;
Periodicidade da Medicao: Mensal;
;
Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C)
31/01/1990;27.0
28/02/1990;27.6
31/03/1990;27.8
30/04/1990;27.1
31/05/1990;24.1
30/06/1990;23.3
31/07/1990;null
31/08/1990;null
30/09/1990;null
31/10/1990;null
30/11/1990;null
31/12/1990;null
31/01/1991;null
28/02/1991;null
31/03/1991;null
30/04/1991;null
31/05/1991;null
30/06/1991;null
31/07/1991;null
31/08/1991;null
30/09/1991;null
31/10/1991;null
30/11/1991;null
31/12/1991;null
31/01/1992;null
29/02/1992;null
31/03/1992;null
30/04/1992;null
31/05/1992;null
30/06/1992;23.3
31/07/1992;22.0
31/08/1992;21.8
30/09/1992;22.2
31/10/1992;23.8
30/11/1992;24.3
31/12/1992;24.9
31/01/1993;26.86
28/02/1993;27.32
31/03/1993;27.72
30/04/1993;26.1
31/05/1993;23.9
30/06/1993;22.1
31/07/1993;22.8
31/08/1993;22.0
30/09/1993;23.6
31/10/1993;24.3
30/11/1993;25.7
31/12/1993;26.0
31/01/1994;26.6
28/02/1994;27.8
31/03/1994;26.3
30/04/1994;25.0
31/05/1994;25.0
30/06/1994;23.0
31/07/1994;22.4
31/08/1994;22.0
30/09/1994;22.8
31/10/1994;24.1
30/11/1994;25.2
31/12/1994;26.4
31/01/1995;27.9
28/02/1995;27.9
31/03/1995;27.2
30/04/1995;25.3
31/05/1995;24.3
30/06/1995;23.2
31/07/1995;23.1
31/08/1995;23.7
30/09/1995;23.4
31/10/1995;24.2
30/11/1995;24.5
31/12/1995;25.4
31/01/1996;27.5
29/02/1996;28.2
31/03/1996;27.9
30/04/1996;25.6
31/05/1996;23.1
30/06/1996;22.3
31/07/1996;21.8
31/08/1996;21.6
30/09/1996;22.6
31/10/1996;24.0
30/11/1996;24.1
31/12/1996;26.3
31/01/1997;26.6
28/02/1997;26.6
31/03/1997;25.2
30/04/1997;24.92
31/05/1997;23.2
30/06/1997;23.1
31/07/1997;22.4
31/08/1997;22.7
