BANCO DE DADOS AGROCLIMATOLÓGICO;;;;;;;;;;;;;;
;Estação (localidade): Vitória;;;;;;;;;;;;;
;Lat.:19,41S;;;Long.: 40,52w;;;Altitude: 140;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Data;Tx;Tn;Tmed;Prec;Eto;Txm;Tnm;Tmed-med;URmed;PrecSOM;Evapmed;Etomed;Tx Abs;Tn Abs
01/01/1961;;;;;;;;;;;;;;
02/01/1961;25,5;23,4;24,45;1,2;;;;;;;;;;
03/01/1961;28,8;22,4;25,6;7,9;;;;;;;;;;
04/01/1961;28;22,6;25,3;1,6;;;;;;;;;;
05/01/1961;27,6;23,6;25,6;0,2;;;;;;;;;;
06/01/1961;29,4;23,9;26,65;2,4;;;;;;;;;;
07/01/1961;32,2;22,9;27,55;0;;;;;;;;;;
08/01/1961;32,6;23,4;28;1,8;;;;;;;;;;
09/01/1961;32,2;24;28,1;1,3;;;;;;;;;;
10/01/1961;31,6;23,2;27,4;24,6;;;;;;;;;;
11/01/1961;30,1;22,2;26,15;1,8;;;;;;;;;;
12/01/1961;27;22,4;24,7;11,5;;;;;;;;;;
13/01/1961;27,6;22;24,8;1,8;;;;;;;;;;
14/01/1961;24;21,2;22,6;96,4;;;;;;;;;;
15/01/1961;29,8;21,8;25,8;9,4;;;;;;;;;;
16/01/1961;30;23;26,5;0,7;;;;;;;;;;
17/01/1961;30,4;22,9;26,65;0;;;;;;;;;;
18/01/1961;31,9;23,2;27,55;0;;;;;;;;;;
19/01/1961;32;22,7;27,35;0;;;;;;;;;;
20/01/1961;30,2;23,6;26,9;0;;;;;;;;;;
21/01/1961;30;22,4;26,2;1,3;;;;;;;;;;
22/01/1961;32,8;22,2;27,5;0;;;;;;;;;;
23/01/1961;33,8;21,8;27,8;0;;;;;;;;;;
24/01/1961;32,2;23,9;28,05;0;;;;;;;;;;
25/01/1961;33,8;25;29,4;0;;;;;;;;;;
26/01/1961;26,6;23,6;25,1;8;;;;;;;;;;
27/01/1961;24,6;20,4;22,5;54,2;;;;;;;;;;
28/01/1961;27,4;20,4;23,9;47,6;;;;;;;;;;
29/01/1961;32,8;22,9;27,85;18,5;;;;;;;;;;
30/01/1961;34;22,1;28,05;35,7;;;;;;;;;;
31/01/1961;31,2;23,1;27,15;20,9;;30,00333333;22,74;;;348,8;;;34;20,4
01/02/1961;32,6;23,1;27,85;19,5;;;;;;;;;;
02/02/1961;32;23;27,5;0;;;;;;;;;;
03/02/1961;32,8;22;27,4;0;;;;;;;;;;
04/02/1961;31;22,6;26,8;0;;;;;;;;;;
05/02/1961;31,8;23,1;27,45;0;;;;;;;;;;
06/02/1961;33,8;22,8;28,3;0;;;;;;;;;;
07/02/1961;32,2;22,9;27,55;0;;;;;;;;;;
08/02/1961;33,8;23,3;28,55;0;;;;;;;;;;
09/02/1961;32,6;23,1;27,85;0;;;;;;;;;;
10/02/1961;32,2;23,1;27,65;0;;;;;;;;;;
11/02/1961;33,8;23,3;28,55;0;;;;;;;;;;
12/02/1961;34,4;23,9;29,15;0;;;;;;;;;;
13/02/1961;31,4;23;27,2;0;;;;;;;;;;
14/02/1961;24,8;22,4;23,6;44,1;;;;;;;;;;
15/02/1961;27,8;20,9;24,35;6,8;;;;;;;;;;
16/02/1961;30,2;20,7;25,45;0;;;;;;;;;;
17/02/1961;31,4;22;26,7;0;;;;;;;;;;
18/02/1961;31,8;22,3;27,05;1;;;;;;;;;;
19/02/1961;32,4;23,6;28;0;;;;;;;;;;
20/02/1961;31,2;23,2;27,2;0;;;;;;;;;;
21/02/1961;31,6;23,6;27,6;0;;;;;;;;;;
22/02/1961;33,4;23,2;28,3;2;;;;;;;;;;
23/02/1961;33,2;23,8;28,5;0;;;;;;;;;;
24/02/1961;33,4;24;28,7;0;;;;;;;;;;
25/02/1961;33,6;23,9;28,75;0;;;;;;;;;;
